"NumPlaces","ScalingFactors","observationPeriods","MinDate","Units","StatVar","MeasurementMethods"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With2Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38412","[]","[]","2009","[]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With5Person_With4AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates]"
"38433","[]","[]","2009","[]","EveryWeekday_Mean_PersonTrips_Household_With2Person_With2AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38414","[]","[]","2009","[]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With1Person_With4AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38429","[]","[]","2009","[]","EveryWeekday_Mean_PersonTrips_Household_With5Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates]"
"38439","[]","[]","2009","[]","EveryWeekday_Mean_VehicleTrips_Household_With1Person_With3AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38456","[]","[]","2009","[]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With5Person_With0AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates]"
"38434","[]","[]","2009","[]","EveryWeekday_Mean_PersonTrips_Household_With4Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With2Person_With4AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38436","[]","[]","2009","[]","EveryWeekday_Mean_VehicleTrips_Household_With4Person_With3AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38471","[]","[]","2009","[]","EveryWeekday_Mean_VehicleTrips_Household_With1Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38433","[]","[]","2009","[]","EveryWeekday_Mean_VehicleTrips_Household_With5Person_With3AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates]"
"39214","[]","[]","2009","[]","EveryWeekday_Mean_VehicleTrips_Household_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38413","[]","[]","2009","[]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With4Person_With3AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With5Person_With2AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates]"
"38442","[]","[]","2009","[]","EveryWeekday_Mean_VehicleTrips_Household_With4Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38413","[]","[]","2009","[]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With2Person_With2AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38436","[]","[]","2009","[]","EveryWeekday_Mean_PersonTrips_Household_With1Person_With3AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With5Person_With0AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates]"
"38428","[]","[]","2009","[]","EveryWeekday_Mean_PersonTrips_Household_With3Person_With2AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38452","[]","[]","2009","[]","EveryWeekday_Mean_PersonTrips_Household_With1Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38423","[]","[]","2009","[]","EveryWeekday_Mean_PersonTrips_Household_With5Person_With3AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates]"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With3Person_With3AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With1Person_With2AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38414","[]","[]","2009","[]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With4Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38421","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With1Person_With0AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38427","[]","[]","2009","[]","EveryWeekday_Mean_PersonTrips_Household_With3Person_With4AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With3Person_With1AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38460","[]","[]","2009","[]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With2Person_With0AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]"
"38417","[]","[]","2009","[]","EveryWeekday_Mean_PersonMilesTraveled_Household_With5Person_With4AvailableVehicles_LocalAreaTransportation","[NationalHouseholdTransportationSurveyEstimates]"
