"MinDate","Units","observationPeriods","NumPlaces","StatVar","MeasurementMethods","ScalingFactors"
"2014","[Percent]","[]","30","Percent_Obesity_In_Count_Person_Female_ForeignBorn","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Overweight_In_Count_Person_Female_IncomeOf20To40Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","18","Percent_Normalweight_In_Count_Person_TertiaryEducationStageOneOrTertiaryEducationStageTwo","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_Male_Native","[EurostatRegionalStatistics]","[100]"
"2019","[Percent]","[]","16","Percent_Normalweight_In_Count_Person_WithinEU27AndNotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Male_IncomeOf20To40Percentile","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","18","Percent_Obesity_In_Count_Person_TertiaryEducationStageOneOrTertiaryEducationStageTwo_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Obesity_In_Count_Person_SevereActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Overweight_In_Count_Person_IncomeOf20To40Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","28","Percent_Obesity_In_Count_Person_NotACitizen_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","16","Percent_Underweight_In_Count_Person_WithinEU27AndNotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","18","Percent_Obesity_In_Count_Person_WithinEU27AndNotACitizen_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","28","Percent_Obesity_In_Count_Person_Male_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","23","Percent_Obesity_In_Count_Person_Male_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","22","Percent_Normalweight_In_Count_Person_Male_ForeignBornWithinEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_Urban","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","28","Percent_Normalweight_In_Count_Person_Male_ForeignBornWithinEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_Citizen_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Male_SevereActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Male_IncomeOf80To100Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_IncomeOf20To40Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_SemiUrban","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_IncomeOf40To60Percentile","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Male_IncomeOf0To20Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_IncomeOf80To100Percentile","[EurostatRegionalStatistics]","[100]"
"2019","[Percent]","[]","24","Percent_PreObese_In_Count_Person_Female_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","27","Percent_PreObese_In_Count_Person_Female_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_IncomeOf40To60Percentile","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Female_SevereActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Normalweight_In_Count_Person_SemiUrban","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Urban","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","20","Percent_Normalweight_In_Count_Person_CitizenOutsideEU28_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_IncomeOf60To80Percentile","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","26","Percent_Obesity_In_Count_Person_WithinEU28AndNotACitizen","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_IncomeOf20To40Percentile","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Normalweight_In_Count_Person_Female_Native","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Underweight_In_Count_Person_Female_LimitedActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Female_IncomeOf0To20Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","19","Percent_Underweight_In_Count_Person_WithinEU27AndNotACitizen","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_SemiUrban_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Overweight_In_Count_Person_SevereActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Male_IncomeOf0To20Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","25","Percent_Normalweight_In_Count_Person_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_SemiUrban_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Overweight_In_Count_Person_ModerateActivityLimitation","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","29","Percent_Normalweight_In_Count_Person_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_IncomeOf60To80Percentile","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Overweight_In_Count_Person_IncomeOf80To100Percentile","[EurostatRegionalStatistics]","[100]"
"2019","[Percent]","[]","25","Percent_Obesity_In_Count_Person_Female_ForeignBornWithinEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","28","Percent_Obesity_In_Count_Person_Female_ForeignBornWithinEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Overweight_In_Count_Person_Female_IncomeOf0To20Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","16","Percent_PreObese_In_Count_Person_WithinEU27AndNotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Urban_Male","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_Female_IncomeOf20To40Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_LimitedActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_Rural","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_Rural_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_Rural_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_Urban_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Female_SevereActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Female_Native","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Obesity_In_Count_Person_Citizen_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_TertiaryEducation_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_SemiUrban_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","20","Percent_Overweight_In_Count_Person_WithinEU28AndNotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_SemiUrban","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_TertiaryEducation_Female","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","28","Percent_Underweight_In_Count_Person_Male_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","21","Percent_Obesity_In_Count_Person_WithinEU28AndNotACitizen_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","23","Percent_Underweight_In_Count_Person_Male_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Obesity_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","30","Percent_Underweight_In_Count_Person_Male_ForeignBorn","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_Urban_Male","[EurostatRegionalStatistics]","[100]"
"2019","[Percent]","[]","22","Percent_PreObese_In_Count_Person_CitizenOutsideEU27_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","18","Percent_Overweight_In_Count_Person_TertiaryEducationStageOneOrTertiaryEducationStageTwo_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","30","Percent_Overweight_In_Count_Person_ForeignBorn","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Female_ModerateActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Underweight_In_Count_Person_Female_NoActivityLimitation","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","21","Percent_PreObese_In_Count_Person_WithinEU28AndNotACitizen_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","20","Percent_Obesity_In_Count_Person_WithinEU28AndNotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","18","Percent_Underweight_In_Count_Person_TertiaryEducationStageOneOrTertiaryEducationStageTwo","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Female_IncomeOf80To100Percentile","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Overweight_In_Count_Person_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_Urban","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Obesity_In_Count_Person_Female_Native","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","27","Percent_Underweight_In_Count_Person_Female_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","30","Percent_PreObese_In_Count_Person_ForeignBorn","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","24","Percent_Underweight_In_Count_Person_Female_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Overweight_In_Count_Person_Female_ModerateActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_NoActivityLimitation","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Overweight_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Female_IncomeOf40To60Percentile","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","30","Percent_Normalweight_In_Count_Person_NotACitizen","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_Urban_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Citizen_Female","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_Female_IncomeOf40To60Percentile","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Obesity_In_Count_Person_NoActivityLimitation","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_TertiaryEducation_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","30","Percent_PreObese_In_Count_Person_Male_ForeignBorn","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_Female_Native","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Male_IncomeOf40To60Percentile","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Obesity_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","26","Percent_Underweight_In_Count_Person_WithinEU28AndNotACitizen","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Obesity_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Female_IncomeOf60To80Percentile","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Normalweight_In_Count_Person_Citizen","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Obesity_In_Count_Person_Citizen_Male","[EurostatRegionalStatistics]","[100]"
"2019","[Percent]","[]","22","Percent_Underweight_In_Count_Person_Male_ForeignBornWithinEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","28","Percent_Underweight_In_Count_Person_Male_ForeignBornWithinEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_Citizen_Male","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Male_SevereActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Overweight_In_Count_Person_SemiUrban_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Overweight_In_Count_Person_TertiaryEducation_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","25","Percent_PreObese_In_Count_Person_CitizenOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","23","Percent_PreObese_In_Count_Person_CitizenOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Overweight_In_Count_Person_Male_LimitedActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Female_IncomeOf20To40Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","30","Percent_Obesity_In_Count_Person_ForeignBorn","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Female_LimitedActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Overweight_In_Count_Person_NoActivityLimitation","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Male_LimitedActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Overweight_In_Count_Person_IncomeOf40To60Percentile","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","28","Percent_Normalweight_In_Count_Person_Male_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","23","Percent_Underweight_In_Count_Person_CitizenOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","20","Percent_PreObese_In_Count_Person_WithinEU28AndNotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","22","Percent_Obesity_In_Count_Person_CitizenOutsideEU27_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","23","Percent_Normalweight_In_Count_Person_Male_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","25","Percent_Underweight_In_Count_Person_CitizenOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","18","Percent_Normalweight_In_Count_Person_WithinEU27AndNotACitizen_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","28","Percent_Obesity_In_Count_Person_Male_ForeignBornWithinEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Male","[EurostatRegionalStatistics]","[100]"
"2019","[Percent]","[]","22","Percent_Obesity_In_Count_Person_Male_ForeignBornWithinEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_Citizen","[EurostatRegionalStatistics]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_IncomeOf0To20Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","30","Percent_PreObese_In_Count_Person_Female_ForeignBorn","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","20","Percent_Normalweight_In_Count_Person_WithinEU28AndNotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Native","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_PreObese_In_Count_Person_Urban_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Male_LimitedActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","22","Percent_Underweight_In_Count_Person_CitizenOutsideEU27_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Female_ModerateActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","22","Percent_Normalweight_In_Count_Person_CitizenOutsideEU27_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","29","Percent_Underweight_In_Count_Person_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","25","Percent_Underweight_In_Count_Person_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","24","Percent_Overweight_In_Count_Person_Female_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Overweight_In_Count_Person_Male_IncomeOf0To20Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","28","Percent_PreObese_In_Count_Person_NotACitizen_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Normalweight_In_Count_Person_Rural_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","22","Percent_Normalweight_In_Count_Person_CitizenOutsideEU28_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_SemiUrban","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","28","Percent_PreObese_In_Count_Person_NotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Obesity_In_Count_Person_Native","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","28","Percent_Underweight_In_Count_Person_NotACitizen_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","28","Percent_PreObese_In_Count_Person_Female_ForeignBornWithinEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Male_Native","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","32","Percent_Underweight_In_Count_Person_Female_ModerateActivityLimitation","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","25","Percent_PreObese_In_Count_Person_Female_ForeignBornWithinEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Normalweight_In_Count_Person_Male_NoActivityLimitation","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","27","Percent_Overweight_In_Count_Person_Female_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Male_IncomeOf60To80Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Rural","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Obesity_In_Count_Person_Male_IncomeOf80To100Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_Female_IncomeOf20To40Percentile","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","28","Percent_PreObese_In_Count_Person_Male_ForeignBornWithinEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
